ZIP,January,February,March,April,May,June,July,August,September,October,November,December,Total
02915,5,1,1,5,3,13,14,3,7,8,7,8,75
02806,0,0,0,0,0,1,1,1,0,1,1,0,5
02885,2,2,3,2,3,1,4,7,0,3,7,1,35
02809,1,0,2,2,6,4,3,1,4,6,2,5,36
02893,26,9,25,18,27,22,34,25,27,25,21,31,290
02816,10,5,8,8,8,10,4,3,6,1,8,11,82
02827,0,0,0,0,0,0,0,0,0,1,0,0,1
02818,6,7,10,4,6,5,3,4,8,5,1,8,67
02852,5,1,6,4,4,1,3,7,7,7,3,8,56
02888,3,0,3,3,3,2,1,3,1,1,3,2,25
02886,7,10,18,10,8,17,23,13,8,15,5,8,142
02889,7,7,6,5,7,16,7,8,5,12,11,9,100
02871,2,1,0,2,2,1,1,0,3,3,5,1,21
02841,1,3,5,2,2,3,3,1,7,4,7,2,40
02842,5,1,4,1,1,2,7,3,9,6,6,6,51
02840,6,13,8,8,20,12,2,24,20,21,11,23,168
02835,0,0,0,0,0,0,0,0,0,0,0,0,0
02801,0,0,0,0,0,1,0,0,0,1,1,1,4
02878,1,6,0,1,1,2,1,1,3,15,5,6,42
02905,8,5,10,14,8,16,10,7,17,20,21,17,153
02907,14,11,13,12,23,28,7,21,25,15,23,11,203
02908,45,24,37,23,25,59,38,28,39,41,46,40,445
02903,9,2,2,2,2,3,5,6,9,4,4,1,49
02909,38,16,31,35,32,28,27,30,47,32,35,28,379
02910,14,8,10,7,19,10,14,12,15,11,16,6,142
02904,18,20,22,16,21,21,14,30,23,16,26,15,242
02906,3,3,3,6,2,1,4,6,2,2,3,3,38
02912,0,0,0,0,3,0,1,1,0,0,2,0,7
02916,2,2,2,0,0,2,0,0,3,2,1,5,19
02914,5,7,4,2,1,5,5,5,7,13,2,6,62
02863,16,22,29,9,26,20,27,20,34,17,18,27,265
02864,5,5,5,3,4,5,4,4,12,5,8,8,68
02865,3,8,4,3,4,4,4,7,3,3,3,10,56
02860,37,29,59,44,40,42,38,31,59,39,49,45,512
02911,10,8,8,3,9,11,14,11,12,11,6,8,111
02919,14,9,9,6,7,10,10,10,8,13,10,2,108
02828,0,0,0,2,0,0,0,0,1,0,1,0,4
02814,0,0,3,3,0,3,0,1,0,0,0,0,10
02896,5,3,4,1,4,3,0,2,0,3,4,3,32
02830,4,4,2,0,0,2,2,1,2,5,5,2,29
02859,0,0,0,0,0,0,0,0,0,0,0,1,1
02857,1,1,2,1,0,0,1,1,1,2,0,2,12
02831,0,1,1,0,0,2,0,2,3,1,2,1,13
02920,6,12,16,4,13,14,19,8,18,13,21,12,156
02921,3,0,2,0,1,2,1,2,0,1,1,1,14
02861,12,13,13,7,15,13,12,15,12,19,15,6,152
02895,41,33,56,29,45,57,56,58,64,61,50,71,621
02807,0,0,2,0,0,0,0,0,0,0,0,0,2
02874,1,0,2,0,1,2,1,0,1,1,0,2,11
02822,0,0,1,1,0,0,3,0,2,0,2,0,9
02832,0,1,1,2,0,2,6,2,2,1,2,6,25
02891,1,3,14,6,3,6,6,6,5,5,8,6,69
02813,0,0,0,1,1,0,2,1,3,0,1,0,9
02879,1,3,3,1,3,2,3,0,1,1,1,0,19
02881,0,0,0,0,0,0,0,0,0,0,0,0,0
02882,0,2,2,2,5,2,4,0,4,1,1,3,26
