ZIP,January,February,March,April,May,June,July,August,September,October,November,December,Total
02915,7,3,9,0,0,5,4,15,10,15,8,5,81
02806,1,1,0,0,0,1,1,0,0,2,0,0,6
02885,9,7,2,0,0,6,0,4,5,2,5,2,42
02809,8,7,2,0,0,5,4,1,5,12,3,7,54
02893,36,26,16,0,0,19,11,19,19,19,17,23,205
02816,6,14,11,0,0,6,4,7,1,7,6,0,62
02827,0,0,0,0,0,1,2,0,0,0,0,0,3
02818,12,7,3,0,0,8,5,11,7,2,6,5,66
02852,17,8,1,0,0,1,4,6,6,7,5,1,56
02888,5,2,1,0,0,4,4,2,4,5,0,3,30
02886,17,10,3,0,0,11,13,9,13,15,15,9,115
02889,17,14,3,0,0,7,12,11,9,10,5,8,96
02871,2,1,5,0,0,0,1,2,2,0,2,0,15
02841,7,2,4,0,0,1,0,3,0,3,2,4,26
02842,3,3,0,0,0,2,3,9,6,11,3,5,45
02840,15,20,2,0,0,11,7,5,29,14,12,6,121
02835,1,0,0,0,0,0,0,0,0,0,0,0,1
02801,1,0,0,0,0,0,0,1,0,1,0,1,4
02878,4,4,0,0,0,3,1,5,3,6,3,1,30
02905,39,28,10,0,0,13,16,9,25,13,24,4,181
02907,16,28,11,0,0,12,14,11,12,9,24,13,150
02908,77,39,24,0,0,36,36,27,29,37,33,33,371
02903,13,10,3,0,0,3,4,7,5,6,2,7,60
02909,98,57,29,0,0,37,26,35,50,23,29,39,423
02910,22,11,4,0,0,6,8,16,13,5,13,10,108
02904,51,29,20,0,0,16,11,10,13,22,27,16,215
02906,1,2,1,0,0,3,4,2,4,2,2,3,24
02912,0,0,0,0,0,1,0,0,0,0,0,1,2
02916,2,2,0,0,0,0,0,1,6,2,3,1,17
02914,9,6,2,0,0,15,6,4,3,9,8,9,71
02863,37,22,15,0,0,17,17,24,18,22,29,21,222
02864,6,10,1,0,0,12,7,9,3,10,6,4,68
02865,4,4,6,0,0,5,5,7,6,4,10,7,58
02860,84,51,20,0,0,51,40,57,42,39,43,49,476
02911,13,12,5,0,0,14,10,9,6,5,11,11,96
02919,12,5,3,0,0,10,6,11,15,7,9,13,91
02828,1,1,0,0,0,1,0,1,0,1,2,0,7
02814,0,2,0,0,0,0,0,1,1,0,1,0,5
02896,4,2,2,0,0,1,1,0,4,6,2,4,26
02830,5,5,2,0,0,3,2,1,3,1,1,2,25
02859,1,0,0,0,0,0,1,1,0,0,0,0,3
02857,0,0,0,0,0,0,3,3,0,2,0,0,8
02831,1,1,1,0,0,0,0,1,0,1,0,0,5
02920,25,20,9,0,0,6,11,10,14,18,21,5,139
02921,2,1,0,0,0,0,1,1,3,2,0,0,10
02861,10,18,2,0,0,13,14,10,7,9,5,20,108
02895,101,71,31,0,0,59,56,53,55,59,70,55,610
02807,0,0,0,0,0,0,0,0,0,0,0,0,0
02874,1,0,0,0,0,0,2,0,1,0,0,1,5
02822,0,0,2,0,0,0,3,0,0,0,0,1,6
02832,2,1,2,0,0,3,1,3,2,1,1,3,19
02891,9,3,2,0,0,7,4,14,6,5,5,7,62
02813,2,3,2,0,0,4,0,1,0,0,0,0,12
02879,4,3,1,0,0,1,1,2,2,3,1,3,21
02881,0,0,0,0,0,0,1,0,0,2,0,1,4
02882,0,1,1,0,0,2,1,1,2,1,4,0,13
